accession,type,species,description,last_update,factors
E-MTAB-7080,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7185,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7498,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6998,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5777,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-5980,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-5947,differential,Gallus gallus,Differential expression comparing infect,,infect
E-MTAB-3774,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5628,differential,Canis lupus familiaris,Differential expression comparing conditions,,
E-MTAB-6028,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6015,differential,Mus musculus,Differential expression comparing compound,,compound
E-ENAD-5,differential,Arabidopsis lyrata subsp. lyrata,Differential expression comparing environmental stress,,environmental stress
E-MTAB-6123,differential,Arabidopsis thaliana,Differential expression comparing phenotype,,phenotype
E-MTAB-6044,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-6069,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-83676,differential,Hordeum vulgare,Differential expression comparing environmental stress,,environmental stress
E-MTAB-6758,differential,Rattus norvegicus,"Differential expression comparing compound, fraction",,"compound, fraction"
E-MTAB-6632,differential,Mus musculus,"Differential expression comparing stimulus, organism part",,"stimulus, organism part"
E-MTAB-6706,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6786,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-6399,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6324,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-6770,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-7119,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-7123,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6992,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-MTAB-6796,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-6248,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6765,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-MTAB-6595,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-3001,differential,Saccharomyces cerevisiae,"Differential expression comparing growth condition, compound",,"growth condition, compound"
E-MTAB-6474,differential,Mus musculus,"Differential expression comparing infect, compound",,"infect, compound"
E-GEOD-80495,differential,Musa acuminata,Differential expression comparing infect,,infect
E-MTAB-6709,differential,Rattus norvegicus,"Differential expression comparing treatment, injury",,"treatment, injury"
E-MTAB-6547,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-6135,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7090,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-MTAB-6977,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-6763,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6639,differential,Mus musculus,"Differential expression comparing stimulus, compound",,"stimulus, compound"
E-MTAB-7076,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-6460,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6259,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6776,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6894,differential,Mus musculus,"Differential expression comparing cell type, compound",,"cell type, compound"
E-MTAB-6079,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6008,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6491,differential,Homo sapiens,"Differential expression comparing disease, infect",,"disease, infect"
E-MTAB-7474,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MTAB-6937,differential,Homo sapiens,"Differential expression comparing cell type, compound",,"cell type, compound"
E-MTAB-6040,differential,Homo sapiens,"Differential expression comparing disease, infect",,"disease, infect"
E-MTAB-6957,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-MTAB-7354,differential,Homo sapiens,Differential expression comparing environmental stress,,environmental stress
E-MTAB-6594,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-65114,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-MTAB-7529,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-7546,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-3186,differential,Sus scrofa,Differential expression comparing disease,,disease
E-MTAB-4294,differential,Sus scrofa,"Differential expression comparing disease, compound",,"disease, compound"
E-MTAB-5606,differential,Sus scrofa,Differential expression comparing stimulus,,stimulus
E-MTAB-5879,differential,Sus scrofa,"Differential expression comparing treatment, sex, injury",,"treatment, sex, injury"
E-MTAB-7435,differential,Sus scrofa,Differential expression comparing organism part,,organism part
E-MTAB-2909,differential,Anas platyrhynchos,"Differential expression comparing infect, organism part",,"infect, organism part"
E-MTAB-6792,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-101794,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-31839,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-41487,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-43463,differential,Glycine max,Differential expression comparing compound,,compound
E-GEOD-44674,differential,Mus musculus,"Differential expression comparing compound, organism part",,"compound, organism part"
E-MTAB-7545,differential,Solanum lycopersicum,Differential expression comparing conditions,,
E-MTAB-7497,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-7609,differential,Arabidopsis thaliana,Differential expression comparing injury,,injury
E-MTAB-7612,differential,Arabidopsis thaliana,"Differential expression comparing compound, injury",,"compound, injury"
E-MTAB-7469,differential,Anopheles gambiae,Differential expression comparing infect,,infect
E-MTAB-7495,differential,Sus scrofa,Differential expression comparing compound,,compound
E-MTAB-7563,differential,Rattus norvegicus,Differential expression comparing stimulus,,stimulus
E-MTAB-7494,differential,Sus scrofa,Differential expression comparing compound,,compound
E-GEOD-50424,differential,Rattus norvegicus,"Differential expression comparing diet, organism part",,"diet, organism part"
E-GEOD-55163,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-63813,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-65487,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-65715,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-GEOD-66666,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-67722,differential,Zea mays,Differential expression comparing sampling site,,sampling site
E-GEOD-71448,differential,Zea mays,Differential expression comparing conditions,,
E-GEOD-77997,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-83144,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-3849,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7591,differential,Homo sapiens,"Differential expression comparing cell line, phenotype",,"cell line, phenotype"
E-MTAB-7048,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-6478,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7484,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-47399,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-GEOD-41831,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-GEOD-55123,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-77598,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-63085,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-58966,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-59846,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-56788,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-66301,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-59251,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-56785,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-63122,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-68230,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-69597,differential,Homo sapiens,"Differential expression comparing disease, disease staging",,"disease, disease staging"
E-MTAB-2266,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-MTAB-2330,differential,Ovis aries,Differential expression comparing disease,,disease
E-MTAB-2456,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-MTAB-2754,differential,Gallus gallus,Differential expression comparing conditions,,
E-MTAB-2762,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-2791,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-2908,differential,Gallus gallus,"Differential expression comparing infect, organism part",,"infect, organism part"
E-MTAB-2910,differential,Gallus gallus,Differential expression comparing infect,,infect
E-MTAB-3194,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-3198,differential,Mus musculus,"Differential expression comparing cell type, cellular component",,"cell type, cellular component"
E-MTAB-3322,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3351,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3352,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3814,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-3966,differential,Vitis vinifera,Differential expression comparing infect,,infect
E-MTAB-4035,differential,Mus musculus,"Differential expression comparing organism part, sampling site",,"organism part, sampling site"
E-MTAB-4178,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-4398,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-4526,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-4528,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-4559,differential,Zea mays subsp. mays,"Differential expression comparing stimulus, organism part",,"stimulus, organism part"
E-MTAB-4578,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-4726,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-4786,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-4819,differential,Solanum lycopersicum,Differential expression comparing conditions,,
E-MTAB-4842,differential,Mus musculus,Differential expression comparing sampling site,,sampling site
E-MTAB-4862,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-5032,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5076,differential,Glycine max,Differential expression comparing environmental stress,,environmental stress
E-MTAB-5077,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5172,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-MTAB-5189,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5838,differential,Bos taurus,Differential expression comparing conditions,,
E-MTAB-5210,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-MTAB-3398,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-3823,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-1776,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5175,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MTAB-3158,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-3447,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-4811,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MTAB-4732,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5060,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-2580,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-MTAB-5157,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-2277,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-3689,differential,Homo sapiens,Differential expression comparing disease staging,,disease staging
E-MTAB-4511,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-3801,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-4363,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-2602,differential,Homo sapiens,"Differential expression comparing stimulus, cell type",,"stimulus, cell type"
E-MTAB-7951,differential,Homo sapiens,Differential expression comparing genetic modification,,genetic modification
E-MTAB-5216,differential,Ovis aries,"Differential expression comparing infect, organism part",,"infect, organism part"
E-MTAB-5224,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5252,differential,Drosophila melanogaster,Differential expression comparing compound,,compound
E-MTAB-5269,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MTAB-5319,differential,Mus musculus,"Differential expression comparing disease, compound",,"disease, compound"
E-MTAB-5338,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-MTAB-5344,differential,Drosophila melanogaster,Differential expression comparing growth condition,,growth condition
E-MTAB-5422,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-5431,differential,Gallus gallus,Differential expression comparing infect,,infect
E-MTAB-5442,differential,Mus musculus,Differential expression comparing irradiate,,irradiate
E-MTAB-5449,differential,Mus musculus,Differential expression comparing injury,,injury
E-MTAB-5470,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-5516,differential,Drosophila melanogaster,"Differential expression comparing infect, injury",,"infect, injury"
E-MTAB-5600,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-5633,differential,Mus musculus domesticus,"Differential expression comparing protocol, injury",,"protocol, injury"
E-MTAB-5671,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-5707,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5772,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5800,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5851,differential,Gallus gallus,Differential expression comparing infect,,infect
E-MTAB-5914,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5921,differential,Mus musculus,"Differential expression comparing stimulus, compound",,"stimulus, compound"
E-MTAB-5962,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-5986,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5992,differential,Danio rerio,Differential expression comparing compound,,compound
E-MTAB-5998,differential,Rattus norvegicus,Differential expression comparing stimulus,,stimulus
E-MTAB-6106,differential,Danio rerio,Differential expression comparing conditions,,
E-MTAB-698,differential,Mus musculus,Differential expression comparing sex,,sex
E-MTAB-5762,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-6486,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-6483,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-5477,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5577,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6556,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5873,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5622,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-6526,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-5984,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-5678,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-6870,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-MTAB-8017,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-5783,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-6516,differential,Homo sapiens,"Differential expression comparing specimen with known storage state, organism part",,"specimen with known storage state, organism part"
E-MTAB-6214,differential,Homo sapiens,"Differential expression comparing disease, response to treatment",,"disease, response to treatment"
E-MTAB-5370,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-5316,differential,Homo sapiens,"Differential expression comparing cell line, compound, disease",,"cell line, compound, disease"
E-MTAB-6991,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6235,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7166,differential,Caenorhabditis elegans,Differential expression comparing fraction,,fraction
E-MTAB-7271,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-5952,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-5974,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-7013,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-6740,differential,Oryza sativa,Differential expression comparing developmental stage,,developmental stage
E-GEOD-103501,differential,Homo sapiens,"Differential expression comparing disease, stimulus",,"disease, stimulus"
E-MTAB-7479,differential,Gallus gallus,Differential expression comparing environmental stress,,environmental stress
E-MTAB-7496,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8049,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-8073,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-8168,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-7879,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-7595,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-7029,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7745,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-6849,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7000,differential,Homo sapiens,Differential expression comparing xenograft,,xenograft
E-MTAB-7847,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-MTAB-10915,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MTAB-7962,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-6865,differential,Homo sapiens,"Differential expression comparing stimulus, xenograft",,"stimulus, xenograft"
E-MTAB-7025,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-6823,differential,Homo sapiens,"Differential expression comparing compound, phenotype",,"compound, phenotype"
E-MTAB-6295,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-3408,differential,Homo sapiens,"Differential expression comparing disease, organism part, sampling site",,"disease, organism part, sampling site"
E-MTAB-7737,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-MTAB-7126,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7216,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7337,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-51386,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-8682,differential,Arabidopsis thaliana,"Differential expression comparing stimulus, organism part",,"stimulus, organism part"
E-MTAB-9771,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-MTAB-11476,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8883,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-97446,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-9962,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8847,differential,Schizosaccharomyces pombe,Differential expression comparing conditions,,
E-MTAB-9000,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9018,differential,Danio rerio,Differential expression comparing stimulus,,stimulus
E-MTAB-9081,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-9113,differential,Danio rerio,Differential expression comparing conditions,,
E-MTAB-9495,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9852,differential,Danio rerio,"Differential expression comparing growth condition, compound",,"growth condition, compound"
E-MTAB-9853,differential,Danio rerio,"Differential expression comparing growth condition, compound",,"growth condition, compound"
E-MTAB-9899,differential,Danio rerio,Differential expression comparing conditions,,
E-MTAB-8818,differential,Homo sapiens,Differential expression comparing disease,,disease
E-CURD-51,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-8439,differential,Mus musculus,Differential expression comparing conditions,,
E-CURD-63,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-MTAB-8824,differential,Danio rerio,Differential expression comparing disease,,disease
E-GEOD-97324,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9726,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-MTAB-5243,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9479,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-11468,differential,Homo sapiens,"Differential expression comparing cell type, stimulus",,"cell type, stimulus"
E-TABM-1208,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8549,differential,Homo sapiens,Differential expression comparing conditions,,
E-TABM-713,differential,Homo sapiens,Differential expression comparing disease,,disease
E-TABM-234,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-8887,differential,Homo sapiens,"Differential expression comparing disease, sampling site",,"disease, sampling site"
E-GEOD-12444,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8052,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-12113,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9045,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-8875,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-8802,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8531,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-10070,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-10780,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-8532,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-10718,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-11903,differential,Homo sapiens,"Differential expression comparing compound, histology",,"compound, histology"
E-GEOD-10979,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8480,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-12265,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-12264,differential,Homo sapiens,Differential expression comparing conditions,,
E-TABM-763,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-11083,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-MTAB-8903,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8701,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-11281,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-11100,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-MTAB-9344,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-10957,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-80423,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MTAB-9575,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7389,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-GEOD-11352,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-7398,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-10693,differential,Caenorhabditis elegans,Differential expression comparing stimulus,,stimulus
E-MTAB-11866,differential,Mus musculus,Differential expression comparing irradiate,,irradiate
E-MTAB-11867,differential,Mus musculus,"Differential expression comparing stimulus, irradiate",,"stimulus, irradiate"
E-MTAB-11876,differential,Solanum lycopersicum,Differential expression comparing compound,,compound
E-MTAB-7408,differential,Ovis aries,Differential expression comparing infect,,infect
E-MTAB-7439,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-7749,differential,Zea mays,Differential expression comparing stimulus,,stimulus
E-MTAB-7798,differential,Rattus norvegicus,Differential expression comparing stimulus,,stimulus
E-MTAB-7613,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MTAB-9791,differential,Triticum aestivum,Differential expression comparing infect,,infect
E-TABM-176,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-12446,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-10879,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-MTAB-8054,differential,Homo sapiens,"Differential expression comparing infect, stimulus",,"infect, stimulus"
E-MTAB-5244,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6607,differential,Homo sapiens,"Differential expression comparing stimulus, compound",,"stimulus, compound"
E-MTAB-3619,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-7925,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-10292,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MTAB-11880,differential,Solanum lycopersicum,Differential expression comparing compound,,compound
E-MTAB-8396,differential,Ovis aries,Differential expression comparing injury,,injury
E-GEOD-79513,differential,Zea mays,Differential expression comparing conditions,,
E-GEOD-83262,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-6445,differential,Brachypodium distachyon,Differential expression comparing environmental stress,,environmental stress
E-MTAB-7124,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-MTAB-8958,differential,Danio rerio,Differential expression comparing conditions,,
E-MTAB-9129,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-MTAB-10031,differential,Homo sapiens,"Differential expression comparing infect, compound",,"infect, compound"
E-MTAB-9566,differential,Saccharomyces cerevisiae,Differential expression comparing phenotype,,phenotype
E-CURD-50,differential,Rattus norvegicus,"Differential expression comparing compound, organism part, cohort",,"compound, organism part, cohort"
E-GEOD-70806,differential,Macaca mulatta,Differential expression comparing injury,,injury
E-MTAB-10958,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-10056,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-10068,differential,Danio rerio,Differential expression comparing conditions,,
E-MTAB-10083,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-10087,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-10104,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-10106,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-MTAB-10149,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-10233,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-10238,differential,Mus musculus,Differential expression comparing sampling site,,sampling site
E-MTAB-10293,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-10308,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-11620,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-MTAB-567,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9874,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8525,differential,Theobroma cacao,Differential expression comparing environmental stress,,environmental stress
E-MTAB-9184,differential,Mus musculus,Differential expression comparing infect,,infect
E-MTAB-10304,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-9196,differential,Arabidopsis thaliana,"Differential expression comparing infect, developmental stage, organism part",,"infect, developmental stage, organism part, stimulus"
E-MTAB-10041,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-47536,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-TABM-601,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8860,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-10232,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-11285,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-10821,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-8473,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-TABM-868,differential,Homo sapiens,Differential expression comparing compound,,compound
E-TABM-271,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-10233,differential,Homo sapiens,Differential expression comparing conditions,,
E-TABM-206,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-11791,differential,Homo sapiens,Differential expression comparing compound,,compound
E-TABM-740,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MTAB-8579,differential,Homo sapiens,Differential expression comparing conditions,,
